ID,BOLSISTA,SINALIZADOR_INGRESSANTE,ANOS_PM,ANO_PESQUISA,INDE,IAA,IEG,IPS,IDA,IPP,IPV,IAN,INSTITUICAO_ENSINO_ALUNO,FASE,TURMA,PEDRA,PONTO_VIRADA
370,0,0,1,2020,8.613,8.75,9.9,7.5,6.5,8.75,9.167,10.0,Escola Pública,3,G,Topázio,1
371,1,0,3,2020,7.38,7.917,7.8,5.0,7.333,5.781,7.417,10.0,Rede Decisão/União,7,B,Ametista,0
372,0,0,3,2020,6.817,9.0,8.0,5.0,6.0,7.5,6.833,5.0,Escola Pública,2,E,Ágata,0
373,0,0,3,2020,6.217,8.75,5.0,5.625,5.667,8.125,6.667,5.0,Escola Pública,3,M,Ágata,0
375,1,0,4,2020,9.335,9.0,9.5,7.5,9.5,9.688,9.583,10.0,Rede Decisão/União,2,B,Topázio,1
377,1,0,3,2020,7.412,9.583,6.7,4.375,6.0,8.542,8.111,10.0,Rede Decisão/União,3,G,Ametista,0
378,1,0,4,2020,7.969,7.917,9.7,3.75,7.0,8.125,8.25,10.0,Rede Decisão/União,5,G,Ametista,0
379,0,0,2,2020,5.682,10.0,6.6,5.0,4.167,5.625,4.833,5.0,Escola Pública,3,H,Quartzo,0
380,1,0,4,2020,5.395,0.0,0.0,4.375,8.8,0.0,0.0,10.0,FIAP,8,A,Quartzo,0
381,0,0,1,2020,6.443,9.5,9.8,2.5,8.5,2.5,4.167,5.0,Escola Pública,0,D,Ágata,0
382,1,0,1,2020,8.848,8.333,10.0,6.875,9.1,0.0,0.0,10.0,FIAP,8,A,Ametista,0
383,0,0,1,2020,7.919,9.5,10.0,6.875,7.5,7.812,7.5,5.0,Escola Pública,0,E,Ametista,0
385,0,1,0,2020,7.338,8.75,8.6,7.5,6.0,7.708,7.611,5.0,Escola Pública,3,R,Ametista,0
387,0,0,2,2020,6.289,9.0,5.6,4.375,6.0,6.875,7.222,5.0,Escola Pública,2,R,Ágata,0
388,0,0,2,2020,7.042,8.0,8.8,7.5,5.5,6.875,7.222,5.0,Escola Pública,2,C,Ágata,0
389,0,1,0,2020,8.404,8.333,9.0,7.5,9.333,8.542,9.0,5.0,Escola Pública,5,A,Ametista,1
